What is your age?,Gender ?,Your City,Current Occuption,"On average, how many hours per day do you spend on social media?",Do you have any medically approved mental disorder?,cluster
18-30,Female,Peshawar ,Student,2.0,No,4
18-30,Female,Chitral,Student,4.0,No,4
18-30,Female,Peshawar ,Employed,4.0,No,2
18-30,Male,Rawalpindi ,Student,2.0,No,1
12-18,Male,Peshawar ,Student,10.0,No,0
18-30,Male,Chitral,Student,7.0,No,1
18-30,Male,Karachi ,Student,7.0,No,1
18-30,Male,Sargodha ,Unemployed,2.0,No,1
18-30,Female,Rawalpindi ,Student,6.0,No,4
18-30,Female,Chitral,Student,5.0,No,4
18-30,Male,Chitral,Student,6.0,No,1
18-30,Male,qaidabad ,Student,4.0,No,1
18-30,Female,Peshawar,Student,3.0,No,4
18-30,Male,peshawar,Student,4.0,No,1
18-30,Female,Karachi ,Unemployed,8.0,No,4
12-18,Male,Peshawar ,Student,3.0,Yes,3
18-30,Male,Peshawar,Student,7.0,No,1
18-30,Male,Chitral,Unemployed,6.0,No,1
18-30,Female,Islamabad ,Unemployed,7.0,No,4
18-30,Female,Gilgit baltistan ,Student,6.0,No,4
18-30,Male,Lahore,Employed,8.0,No,2
18-30,Female,Dera Ismail Khan ,Student,4.0,No,4
18-30,Male,Peshawar,Student,4.0,No,1
18-30,Female,Chitral ,Student,3.0,No,4
18-30,Male,Karak,Student,2.0,No,1
30-40,Female,Rawalpindi ,Unemployed,9.0,No,4
12-18,Female,Quetta ,Student,16.0,No,0
18-30,Female,peshawar,Student,8.0,No,4
18-30,Male,chitral ,Unemployed,12.0,No,0
18-30,Male,Lower chitral ,Student,5.0,No,1
18-30,Male,Upper chitral ,Employed,1.0,No,2
18-30,Male,Islamabad,Student,3.0,No,1
18-30,Male,Peshawar ,Student,2.5,No,1
18-30,Female,Gilgit ,Student,7.0,No,4
18-30,Male,Gilgit ,Student,4.0,No,1
18-30,Male,Karachi ,Student,4.0,No,1
18-30,Female,Rawalpindi ,Student,5.0,No,4
18-30,Male,Peshawar,Student,5.0,No,1
18-30,Male,Islamabad ,Unemployed,8.0,No,1
18-30,Male,Parachinar ,Student,4.0,No,1
18-30,Female,Peshawar ,Student,4.0,No,4
18-30,Female,Peshawar ,Employed,4.0,No,2
18-30,Female,Karachi ,Employed,6.0,No,2
30-40,Male,Islamabad ,Self-Employed,3.0,No,2
18-30,Male,Islamabad ,Student,2.0,No,1
18-30,Female,Chitral,Student,9.0,No,4
18-30,Male,Peshawar ,Student,2.0,No,1
18-30,Male,Karachi,Student,6.0,No,1
18-30,Male,Peshawar,Student,7.0,Yes,3
30-40,Male,Peshawar ,Employed,5.0,No,2
18-30,Female,Islamabad ,Student,4.0,No,4
12-18,Male,Peshawar ,Student,1.0,No,1
12-18,Female,Islamabad ,Student,6.0,No,4
18-30,Male,Peshawar,Employed,8.0,No,2
12-18,Female,Peshawar ,Student,2.0,No,4
18-30,Female,Abbottabad ,Student,3.0,No,4
18-30,Female,Peshawar ,Student,8.0,No,4
18-30,Male,Karachi ,Student,4.0,No,1
40+,Male,Peshawar,Self-Employed,5.0,No,2
18-30,Female,Nowshera,Student,4.0,No,4
18-30,Female,Nowshera,Student,4.0,Yes,3
40+,Male,Chitral ,Self-Employed,6.0,No,2
18-30,Male,Peshawar,Student,5.0,No,1
18-30,Male,Peshawar ,Student,6.0,No,1
12-18,Female,Peshawar,Student,2.0,Yes,3
18-30,Male,Peshawar ,Student,16.0,No,0
18-30,Male,Peshawar ,Employed,3.0,No,2
18-30,Female,Peshawar ,Student,3.0,No,4
18-30,Male,peshawar,Student,14.0,No,0
18-30,Female,peshawar,Student,8.0,No,4
18-30,Female,peshawar,Employed,2.0,No,2
18-30,Female,Gilgit,Student,5.0,No,4
18-30,Male,Gilgit ,Student,6.0,No,1
